ticker,ev_sales,margins,beta,g
GNRC,8.548,0.14107001,0.9338110000000001,0.7959999999999999
HPE,1.23,-0.01608,1.268615,-0.33
MKTX,28.921999999999997,0.43443000000000004,0.400441,0.451
RF,4.607,0.22079000000000001,1.565912,0.584
TFX,8.837,0.13216,1.196911,-0.297
LVS,16.436,-0.4665,1.49476,
DOV,3.4389999999999996,0.10226,1.346938,0.083
KEY,5.992999999999999,0.23707001,1.552675,0.24100000000000002
MTB,-0.043,0.2625,1.19305,-0.044000000000000004
COO,8.772,0.91230005,0.815774,22.217
HOLX,4.784,0.30501999999999996,1.2382790000000001,0.695
PAYC,27.233,0.17049,1.400992,-0.46299999999999997
XYL,4.324,0.05209,1.030888,0.254
CZR,12.892000000000001,-0.50692004,3.202426,
FE,4.001,0.10172,0.206839,
HES,6.484,-0.68083,2.227247,
AES,4.137,0.00476,0.795366,
CFG,2.198,0.27093,,16.971
EXPD,1.755,0.06881,0.803088,0.446
ESS,16.256,0.36538000000000004,0.740209,-0.257
HAL,1.8559999999999999,-0.20388001,2.924434,
DRI,3.864,-0.03543,1.557087,-0.446
WAT,8.33,0.22049999,0.806398,0.08800000000000001
AMCR,1.99,0.06226,0.448504,0.177
EXR,18.332,0.34948003,0.15995499999999999,0.39
NDAQ,5.2620000000000005,0.16580999,0.846662,0.10800000000000001
RCL,16.633,-2.62471,2.9001650000000003,
ENPH,24.568,0.17302,1.24214,-0.374
CTLT,6.18,0.09983,1.4418090000000001,0.943
IR,4.769,-0.00678,1.553516,4.899
ULTA,3.16,0.02858,1.7104240000000002,-0.23
CAG,2.346,0.10148,0.84225,0.377
CMS,5.157,0.11302000000000001,0.15995499999999999,-0.054000000000000006
TYL,15.700999999999999,0.17447000000000001,0.5664640000000001,0.156
BR,4.245,0.11070999999999999,0.8847209999999999,4.574
CAH,0.134,0.00883,1.09487,1.859
UAL,2.605,-0.46036997,1.697186,
PEAK,15.139000000000001,0.25142,0.6492,2.364
GWW,2.001,0.058909997,1.206287,0.631
CE,3.7060000000000004,0.35102,1.2355209999999999,32.791
STE,6.3420000000000005,0.14127,0.521787,0.091
ALB,6.678,0.12009,1.527854,-0.064
ABC,0.125,-0.01656,0.537231,0.998
J,1.3840000000000001,0.036199998,0.900717,0.0
AKAM,5.933,0.17417999,0.410921,-0.048
ANET,9.229,0.27381,1.1825700000000001,-0.298
DGX,2.241,0.15164,1.0336450000000001,1.2890000000000001
GPC,1.215,-0.00176,1.124103,18.198
MAA,13.147,0.15194000000000002,0.635962,-0.44299999999999995
OMC,1.484,0.071779996,0.920573,-0.040999999999999995
NTAP,2.89,0.105900005,1.297297,-0.34299999999999997
CTXS,5.6770000000000005,0.15585,0.14616600000000002,-0.45899999999999996
IT,4.7010000000000005,0.06507,1.613899,0.767
NVR,2.28,0.119169995,1.012686,0.191
DRE,20.923000000000002,0.29862,0.502482,0.945
IEX,7.172999999999999,0.16063999,1.085493,0.044000000000000004
AVY,2.657,0.07973999999999999,0.9779370000000001,0.17800000000000002
HBAN,5.221,0.21711001,1.402647,-0.003
STX,2.247,0.097229995,1.158852,-0.11900000000000001
MGM,8.276,-0.21003000000000002,2.472697,
MAS,2.573,0.17028,1.348041,-0.57
MPWR,19.754,0.19465,0.9145059999999999,0.322
VTRS,3.4619999999999997,-0.05608,1.554881,
K,2.18,0.09085,0.661334,0.414
PFG,1.2570000000000001,0.094680004,1.646993,0.5710000000000001
CINF,2.276,0.16136,0.6492,0.6759999999999999
RJF,0.8079999999999999,0.10817,1.2526190000000001,0.16399999999999998
TDY,5.229,0.13022,1.114175,0.142
LB,2.045,0.07124,1.7931599999999999,
INCY,6.164,-0.11087999999999999,0.8019850000000001,0.35
EMN,2.477,0.05641,1.5333700000000001,0.231
ABMD,17.805,0.2466,1.309983,-0.106
DPZ,4.738,0.119320005,0.448979,0.175
PKI,4.425,0.19242,1.1362379999999999,4.897
POOL,4.059,0.09316,0.728075,2.283
PENN,6.962000000000001,-0.18708,2.6845,
BXP,11.245999999999999,0.31877002,1.2360719999999998,-0.9279999999999999
FMC,3.7910000000000004,0.1188,0.9895200000000001,
WHR,0.985,0.055560004,1.890237,0.726
BKR,1.101,-0.48008,1.7898509999999999,12.583
SJM,2.316,0.1169,0.318808,0.395
WAB,2.54,0.054840002,1.668505,-0.35200000000000004
FANG,7.107,-1.69113,2.739106,
PHM,1.374,0.12747999999999998,1.439051,0.305
XRAY,4.882,-0.02483,0.932156,-0.038
JBHT,1.899,0.054920002999999995,1.044125,0.39799999999999996
WRK,1.36,-0.03858,1.2647540000000002,0.09699999999999999
EVRG,5.02,0.12584,0.343629,-0.20199999999999999
FBHS,2.733,0.09082,1.6492,0.5720000000000001
LNT,6.252999999999999,0.17974001,0.335355,-0.423
AAL,2.783,-0.51249003,1.931053,
LDOS,1.5759999999999998,0.051069997,0.937672,0.08800000000000001
CHRW,0.905,0.03125,0.722007,0.491
BIO,7.04,1.4952201,0.807501,0.516
WYNN,11.46,-0.98635,2.5030330000000003,
UDR,15.588,0.051,0.728626,-0.728
DVN,3.8569999999999998,-0.59516,3.3524540000000003,
PKG,2.234,0.06924,0.895752,-0.09300000000000001
CNP,3.783,-0.10421,0.9669049999999999,0.27399999999999997
PWR,1.296,0.03978,1.2493100000000001,0.439
TXT,1.358,0.026519999,1.774407,0.18600000000000003
HRL,2.565,0.091630004,-0.053502,-0.085
FFIV,5.119,0.12326,1.1130719999999998,-0.11
TPR,3.25,-0.092180006,1.523441,0.040999999999999995
ATO,6.175,0.22393000000000002,0.383342,0.218
FOXA,2.0980000000000003,0.12082999999999999,1.278935,-0.253
HAS,3.194,0.040710002,0.9724209999999999,-0.607
HWM,3.392,0.049629997,1.77571,-0.657
SNA,3.3939999999999997,0.15905,1.303916,0.225
LUMN,2.2769999999999997,-0.05948,1.119691,
NLOK,6.101,0.23706,1.087148,-0.937
AAP,1.505,0.048779998,1.357418,0.168
HST,10.287,-0.46038,1.425813,
LKQ,1.516,0.054899998,1.664092,0.289
L,1.694,-0.07418999999999999,0.916161,0.8290000000000001
JKHY,7.002999999999999,0.17408001,0.57915,-0.002
MHK,1.6869999999999998,0.053979997,1.572531,-0.062
IPG,1.896,0.043539999999999995,1.035852,-0.659
ALLE,4.822,0.115559995,1.192498,0.156
LNC,0.8240000000000001,0.028610000000000003,2.264754,-0.669
LYV,11.854000000000001,-0.92657995,1.429123,
LW,3.946,0.07142000000000001,0.778158,-0.40700000000000003
BWA,1.412,0.04919,1.585217,0.627
MOS,1.962,0.07672000000000001,1.845559,
WRB,1.778,0.06552000000000001,0.8234959999999999,1.6159999999999999
CBOE,3.571,0.13662,0.6442359999999999,0.012
IRM,5.267,0.08262999,0.798124,5.563
UHS,1.341,0.08166,1.1825700000000001,0.259
WU,2.588,0.15394000000000002,1.012134,0.308
RE,1.1059999999999999,0.053529999999999994,0.623276,-0.708
PNR,3.793,0.11882999999999999,1.148924,0.053
NWSA,2.0340000000000003,-0.098850004,1.605626,1.7180000000000002
NCLH,13.796,0.0,2.876999,
CF,3.965,0.076869994,1.27744,0.5820000000000001
HSIC,1.155,0.0399,0.862107,-0.568
IVZ,2.9010000000000002,0.12393,1.307225,0.131
NWL,1.781,-0.082040004,0.96525,-0.84
CPB,2.263,0.090129994,0.594043,-0.797
TAP,2.039,-0.0983,1.1296190000000002,
NI,4.452,-0.0037599998,0.29067800000000005,
CMA,0.026000000000000002,0.19958,1.6420290000000002,-0.201
GL,2.6439999999999997,0.15445,1.137892,0.092
PNW,4.613,0.15349000000000002,0.28516199999999997,
DISCK,3.418,0.11423001,1.451185,-0.431
NRG,1.704,0.05609,0.8494200000000001,
REG,13.284,0.042839999999999996,1.103695,-0.045
DISH,2.094,0.11377000000000001,2.09156,0.8809999999999999
RHI,1.7630000000000001,0.059949998,1.578599,-0.163
ZION,2.1390000000000002,0.22411999999999999,1.591836,0.552
NLSN,2.7910000000000004,-0.00095,1.4738,
AOS,3.6289999999999996,0.119119994,1.0634299999999999,0.314
AIZ,0.853,0.043789999999999996,0.609487,0.091
ALK,2.9010000000000002,-0.37127998,1.8571419999999998,
KIM,13.012,0.94606,1.5041360000000001,0.8390000000000001
MRO,4.204,-0.46477002,3.239933,
JNPR,2.045,0.058000002,0.845008,-0.8170000000000001
HII,1.042,0.07435,1.009376,0.6709999999999999
BEN,2.7880000000000003,0.12859,1.307225,-0.015
IPGP,8.877,0.1329,1.395477,
DXC,0.6759999999999999,-0.15673,2.5091,12.39
DVA,2.142,0.06698,1.286265,-0.29
ROL,8.179,0.12068,0.490899,0.23399999999999999
FLIR,4.236000000000001,0.11051,1.57198,43.678999999999995
PBCT,2.852,0.11529,1.231108,
PVH,1.588,-0.15928,2.392719,
SEE,2.194,0.10257000000000001,1.265306,0.363
FRT,14.797,0.15917,1.142857,-0.35700000000000004
HBI,1.601,-0.011340000000000001,1.525648,
VNO,11.117,-0.18422002,1.402095,
GPS,1.27,-0.048189998,1.667402,
APA,3.958,-1.1063,4.961941,
COG,5.438,0.1427,0.167126,-0.107
LEG,1.9169999999999998,0.05785,1.5041360000000001,0.18899999999999997
RL,2.285,-0.06746,1.526751,-0.6409999999999999
DISCA,3.722,0.11423001,1.451185,-0.431
UNM,0.586,0.06025,1.750689,-0.5429999999999999
FOX,2.041,0.12082999999999999,1.278935,-0.253
PRGO,1.709,-0.03211,1.220077,
HFC,0.7559999999999999,-0.053779997,1.811362,
